Project,Resource,Segment Start,Segment End,Soft Allocation
AP1002,csk.developer,01.Oct.2023,01.Nov.2023,0.0
AP1002,csk.developer,01.Nov.2023,01.Dec.2023,0.0
AP1002,csk.developer,01.Dec.2023,01.Jan.2024,0.0
AP1002,csk.developer,01.Jan.2024,01.Feb.2024,0.0
AP1002,csk.developer,01.Feb.2024,01.Mar.2024,0.0
AP1002,csk.developer,01.Mar.2024,01.Apr.2024,0.0
AP1002,csk.developer,01.Apr.2024,01.May.2024,0.0
AP1002,csk.developer,01.May.2024,01.Jun.2024,0.0
AP1002,csk.developer,01.Jun.2024,01.Jul.2024,0.0
AP1002,csk.developer,01.Jul.2024,01.Aug.2024,0.0
AP1002,csk.developer,01.Aug.2024,01.Sep.2024,0.0
AP1002,csk.developer,01.Sep.2024,01.Oct.2024,0.0
AP1002,csk.developer,01.Oct.2024,01.Nov.2024,0.0
AP1002,csk.developer,01.Nov.2024,01.Dec.2024,0.0
AP1002,csk.developer,01.Dec.2024,01.Jan.2025,0.0
AP1002,csk.developer,01.Jan.2025,01.Feb.2025,0.0
AP1002,csk.developer,01.Feb.2025,01.Mar.2025,0.0
AP1002,csk.developer,01.Mar.2025,01.Apr.2025,0.0
AP1002,csk.developer,01.Apr.2025,01.May.2025,0.0
AP1002,csk.developer,01.May.2025,01.Jun.2025,0.0
AP1002,csk.developer,01.Jun.2025,01.Jul.2025,0.0
AP1002,csk.developer,01.Jul.2025,01.Aug.2025,0.0
AP1002,csk.developer,01.Aug.2025,01.Sep.2025,0.0
AP1002,csk.developer,01.Sep.2025,01.Oct.2025,0.0
AP1002,csk.developer,01.Oct.2025,01.Nov.2025,0.0
AP1002,csk.developer,01.Nov.2025,01.Dec.2025,0.0
AP1002,csk.developer,01.Dec.2025,01.Jan.2026,0.0
AP1003,randyMiller,01.Jan.2023,01.Feb.2023,0.0
AP1003,randyMiller,01.Feb.2023,01.Mar.2023,0.0
AP1003,randyMiller,01.Mar.2023,01.Apr.2023,0.0
AP1003,randyMiller,01.Apr.2023,01.May.2023,0.0
AP1003,randyMiller,01.May.2023,01.Jun.2023,0.0
AP1003,randyMiller,01.Jun.2023,01.Jul.2023,0.0
AP1003,randyMiller,01.Jul.2023,01.Aug.2023,0.0
AP1003,randyMiller,01.Aug.2023,01.Sep.2023,0.0
AP1003,randyMiller,01.Sep.2023,01.Oct.2023,0.0
AP1003,randyMiller,01.Oct.2023,01.Nov.2023,0.0
AP1003,randyMiller,01.Nov.2023,01.Dec.2023,0.0
AP1003,randyMiller,01.Dec.2023,01.Jan.2024,0.0
AP1003,randyMiller,01.Jan.2024,01.Feb.2024,0.0
AP1003,randyMiller,01.Feb.2024,01.Mar.2024,0.0
AP1003,randyMiller,01.Mar.2024,01.Apr.2024,0.0
AP1003,randyMiller,01.Apr.2024,01.May.2024,0.0
AP1003,randyMiller,01.May.2024,01.Jun.2024,0.0
AP1003,randyMiller,01.Jun.2024,01.Jul.2024,0.0
AP1003,randyMiller,01.Jul.2024,01.Aug.2024,0.0
AP1003,randyMiller,01.Aug.2024,01.Sep.2024,0.0
AP1003,randyMiller,01.Sep.2024,01.Oct.2024,0.0
AP1003,randyMiller,01.Oct.2024,01.Nov.2024,0.0
AP1003,randyMiller,01.Nov.2024,01.Dec.2024,0.0
AP1003,randyMiller,01.Dec.2024,01.Jan.2025,0.0
AP1003,randyMiller,01.Jan.2025,01.Feb.2025,0.0
AP1003,randyMiller,01.Feb.2025,01.Mar.2025,0.0
AP1003,randyMiller,01.Mar.2025,01.Apr.2025,0.0
AP1003,randyMiller,01.Apr.2025,01.May.2025,0.0
AP1003,randyMiller,01.May.2025,01.Jun.2025,0.0
AP1003,randyMiller,01.Jun.2025,01.Jul.2025,0.0
AP1003,randyMiller,01.Jul.2025,01.Aug.2025,0.0
AP1003,randyMiller,01.Aug.2025,01.Sep.2025,0.0
AP1003,randyMiller,01.Sep.2025,01.Oct.2025,0.0
AP1003,randyMiller,01.Oct.2025,01.Nov.2025,0.0
AP1003,randyMiller,01.Nov.2025,01.Dec.2025,0.0
AP1003,randyMiller,01.Dec.2025,01.Jan.2026,0.0
AP1004,csk.architect,01.Jan.2023,01.Feb.2023,0.0
AP1004,csk.architect,01.Feb.2023,01.Mar.2023,0.0
AP1004,csk.architect,01.Mar.2023,01.Apr.2023,0.0
AP1004,csk.architect,01.Apr.2023,01.May.2023,0.0
AP1004,csk.architect,01.May.2023,01.Jun.2023,0.0
AP1004,csk.architect,01.Jun.2023,01.Jul.2023,0.0
AP1004,csk.architect,01.Jul.2023,01.Aug.2023,0.0
AP1004,csk.architect,01.Aug.2023,01.Sep.2023,0.0
AP1004,csk.architect,01.Sep.2023,01.Oct.2023,0.0
AP1004,csk.architect,01.Oct.2023,01.Nov.2023,0.0
AP1004,csk.architect,01.Nov.2023,01.Dec.2023,0.0
AP1004,csk.architect,01.Dec.2023,01.Jan.2024,0.0
AP1004,csk.architect,01.Jan.2024,01.Feb.2024,0.0
AP1004,csk.architect,01.Feb.2024,01.Mar.2024,0.0
AP1004,csk.architect,01.Mar.2024,01.Apr.2024,0.0
AP1004,csk.architect,01.Apr.2024,01.May.2024,0.0
AP1004,csk.architect,01.May.2024,01.Jun.2024,0.0
AP1004,csk.architect,01.Jun.2024,01.Jul.2024,0.0
AP1004,csk.architect,01.Jul.2024,01.Aug.2024,0.0
AP1004,csk.architect,01.Aug.2024,01.Sep.2024,0.0
AP1004,csk.architect,01.Sep.2024,01.Oct.2024,0.0
AP1004,csk.architect,01.Oct.2024,01.Nov.2024,0.0
AP1004,csk.architect,01.Nov.2024,01.Dec.2024,0.0
AP1004,csk.architect,01.Dec.2024,01.Jan.2025,0.0
AP1004,csk.architect,01.Jan.2025,01.Feb.2025,0.0
AP1004,csk.architect,01.Feb.2025,01.Mar.2025,0.0
AP1004,csk.architect,01.Mar.2025,01.Apr.2025,0.0
AP1004,csk.architect,01.Apr.2025,01.May.2025,0.0
AP1004,csk.architect,01.May.2025,01.Jun.2025,0.0
AP1004,csk.architect,01.Jun.2025,01.Jul.2025,0.0
AP1004,csk.architect,01.Jul.2025,01.Aug.2025,0.0
AP1004,csk.architect,01.Aug.2025,01.Sep.2025,0.0
AP1004,csk.architect,01.Sep.2025,01.Oct.2025,0.0
AP1004,csk.architect,01.Oct.2025,01.Nov.2025,0.0
AP1004,csk.architect,01.Nov.2025,01.Dec.2025,0.0
AP1004,csk.architect,01.Dec.2025,01.Jan.2026,0.0
AP1005,joyceColeman,01.Jan.2023,01.Feb.2023,0.0
AP1005,joyceColeman,01.Feb.2023,01.Mar.2023,0.0
AP1005,joyceColeman,01.Mar.2023,01.Apr.2023,0.0
AP1005,joyceColeman,01.Apr.2023,01.May.2023,0.0
AP1005,joyceColeman,01.May.2023,01.Jun.2023,0.0
AP1005,joyceColeman,01.Jun.2023,01.Jul.2023,0.0
AP1005,joyceColeman,01.Jul.2023,01.Aug.2023,0.0
AP1005,joyceColeman,01.Aug.2023,01.Sep.2023,0.0
AP1005,joyceColeman,01.Sep.2023,01.Oct.2023,0.0
AP1005,joyceColeman,01.Oct.2023,01.Nov.2023,0.0
AP1005,joyceColeman,01.Nov.2023,01.Dec.2023,0.0
AP1005,joyceColeman,01.Dec.2023,01.Jan.2024,0.0
AP1005,joyceColeman,01.Jan.2024,01.Feb.2024,0.0
AP1005,joyceColeman,01.Feb.2024,01.Mar.2024,0.0
AP1005,joyceColeman,01.Mar.2024,01.Apr.2024,0.0
AP1005,joyceColeman,01.Apr.2024,01.May.2024,0.0
AP1005,joyceColeman,01.May.2024,01.Jun.2024,0.0
AP1005,joyceColeman,01.Jun.2024,01.Jul.2024,0.0
AP1005,joyceColeman,01.Jul.2024,01.Aug.2024,0.0
AP1005,joyceColeman,01.Aug.2024,01.Sep.2024,0.0
AP1005,joyceColeman,01.Sep.2024,01.Oct.2024,0.0
AP1005,joyceColeman,01.Oct.2024,01.Nov.2024,0.0
AP1005,joyceColeman,01.Nov.2024,01.Dec.2024,0.0
AP1005,joyceColeman,01.Dec.2024,01.Jan.2025,0.0
AP1005,joyceColeman,01.Jan.2025,01.Feb.2025,0.0
AP1005,joyceColeman,01.Feb.2025,01.Mar.2025,0.0
AP1005,joyceColeman,01.Mar.2025,01.Apr.2025,0.0
AP1005,joyceColeman,01.Apr.2025,01.May.2025,0.0
AP1005,joyceColeman,01.May.2025,01.Jun.2025,0.0
AP1005,joyceColeman,01.Jun.2025,01.Jul.2025,0.0
AP1005,joyceColeman,01.Jul.2025,01.Aug.2025,0.0
AP1005,joyceColeman,01.Aug.2025,01.Sep.2025,0.0
AP1005,joyceColeman,01.Sep.2025,01.Oct.2025,0.0
AP1005,joyceColeman,01.Oct.2025,01.Nov.2025,0.0
AP1005,joyceColeman,01.Nov.2025,01.Dec.2025,0.0
AP1005,joyceColeman,01.Dec.2025,01.Jan.2026,0.0
AP1005,rakeshGupta,01.Jan.2023,01.Feb.2023,0.0
AP1005,rakeshGupta,01.Feb.2023,01.Mar.2023,0.0
AP1005,rakeshGupta,01.Mar.2023,01.Apr.2023,0.0
AP1005,rakeshGupta,01.Apr.2023,01.May.2023,0.0
AP1005,rakeshGupta,01.May.2023,01.Jun.2023,0.0
AP1005,rakeshGupta,01.Jun.2023,01.Jul.2023,0.0
AP1005,rakeshGupta,01.Jul.2023,01.Aug.2023,0.0
AP1005,rakeshGupta,01.Aug.2023,01.Sep.2023,0.0
AP1005,rakeshGupta,01.Sep.2023,01.Oct.2023,0.0
AP1005,rakeshGupta,01.Oct.2023,01.Nov.2023,0.0
AP1005,rakeshGupta,01.Nov.2023,01.Dec.2023,0.0
AP1005,rakeshGupta,01.Dec.2023,01.Jan.2024,0.0
AP1005,rakeshGupta,01.Jan.2024,01.Feb.2024,0.0
AP1005,rakeshGupta,01.Feb.2024,01.Mar.2024,0.0
AP1005,rakeshGupta,01.Mar.2024,01.Apr.2024,0.0
AP1005,rakeshGupta,01.Apr.2024,01.May.2024,0.0
AP1005,rakeshGupta,01.May.2024,01.Jun.2024,0.0
AP1005,rakeshGupta,01.Jun.2024,01.Jul.2024,0.0
AP1005,rakeshGupta,01.Jul.2024,01.Aug.2024,0.0
AP1005,rakeshGupta,01.Aug.2024,01.Sep.2024,0.0
AP1005,rakeshGupta,01.Sep.2024,01.Oct.2024,0.0
AP1005,rakeshGupta,01.Oct.2024,01.Nov.2024,0.0
AP1005,rakeshGupta,01.Nov.2024,01.Dec.2024,0.0
AP1005,rakeshGupta,01.Dec.2024,01.Jan.2025,0.0
AP1005,rakeshGupta,01.Jan.2025,01.Feb.2025,0.0
AP1005,rakeshGupta,01.Feb.2025,01.Mar.2025,0.0
AP1005,rakeshGupta,01.Mar.2025,01.Apr.2025,0.0
AP1005,rakeshGupta,01.Apr.2025,01.May.2025,0.0
AP1005,rakeshGupta,01.May.2025,01.Jun.2025,0.0
AP1005,rakeshGupta,01.Jun.2025,01.Jul.2025,0.0
AP1005,rakeshGupta,01.Jul.2025,01.Aug.2025,0.0
AP1005,rakeshGupta,01.Aug.2025,01.Sep.2025,0.0
AP1005,rakeshGupta,01.Sep.2025,01.Oct.2025,0.0
AP1005,rakeshGupta,01.Oct.2025,01.Nov.2025,0.0
AP1005,rakeshGupta,01.Nov.2025,01.Dec.2025,0.0
AP1005,rakeshGupta,01.Dec.2025,01.Jan.2026,0.0
AP1006,seanEvans,01.Jan.2023,01.Feb.2023,0.0
AP1006,seanEvans,01.Feb.2023,01.Mar.2023,0.0
AP1006,seanEvans,01.Mar.2023,01.Apr.2023,0.0
AP1006,seanEvans,01.Apr.2023,01.May.2023,0.0
AP1006,seanEvans,01.May.2023,01.Jun.2023,0.0
AP1006,seanEvans,01.Jun.2023,01.Jul.2023,0.0
AP1006,seanEvans,01.Jul.2023,01.Aug.2023,0.0
AP1006,seanEvans,01.Aug.2023,01.Sep.2023,0.0
AP1006,seanEvans,01.Sep.2023,01.Oct.2023,0.0
AP1006,seanEvans,01.Oct.2023,01.Nov.2023,0.0
AP1006,seanEvans,01.Nov.2023,01.Dec.2023,0.0
AP1006,seanEvans,01.Dec.2023,01.Jan.2024,0.0
AP1006,seanEvans,01.Jan.2024,01.Feb.2024,0.0
AP1006,seanEvans,01.Feb.2024,01.Mar.2024,0.0
AP1006,seanEvans,01.Mar.2024,01.Apr.2024,0.0
AP1006,seanEvans,01.Apr.2024,01.May.2024,0.0
AP1006,seanEvans,01.May.2024,01.Jun.2024,0.0
AP1006,seanEvans,01.Jun.2024,01.Jul.2024,0.0
AP1006,seanEvans,01.Jul.2024,01.Aug.2024,0.0
AP1006,seanEvans,01.Aug.2024,01.Sep.2024,0.0
AP1006,seanEvans,01.Sep.2024,01.Oct.2024,0.0
AP1006,seanEvans,01.Oct.2024,01.Nov.2024,0.0
AP1006,seanEvans,01.Nov.2024,01.Dec.2024,0.0
AP1006,seanEvans,01.Dec.2024,01.Jan.2025,0.0
AP1006,seanEvans,01.Jan.2025,01.Feb.2025,0.0
AP1006,seanEvans,01.Feb.2025,01.Mar.2025,0.0
AP1006,seanEvans,01.Mar.2025,01.Apr.2025,0.0
AP1006,seanEvans,01.Apr.2025,01.May.2025,0.0
AP1006,seanEvans,01.May.2025,01.Jun.2025,0.0
AP1006,seanEvans,01.Jun.2025,01.Jul.2025,0.0
AP1006,seanEvans,01.Jul.2025,01.Aug.2025,0.0
AP1006,seanEvans,01.Aug.2025,01.Sep.2025,0.0
AP1006,seanEvans,01.Sep.2025,01.Oct.2025,0.0
AP1006,seanEvans,01.Oct.2025,01.Nov.2025,0.0
AP1006,seanEvans,01.Nov.2025,01.Dec.2025,0.0
AP1006,seanEvans,01.Dec.2025,01.Jan.2026,0.0
AP1006,artKingsley,01.Jan.2023,01.Feb.2023,0.0
AP1006,artKingsley,01.Feb.2023,01.Mar.2023,0.0
AP1006,artKingsley,01.Mar.2023,01.Apr.2023,0.0
AP1006,artKingsley,01.Apr.2023,01.May.2023,0.0
AP1006,artKingsley,01.May.2023,01.Jun.2023,0.0
AP1006,artKingsley,01.Jun.2023,01.Jul.2023,0.0
AP1006,artKingsley,01.Jul.2023,01.Aug.2023,0.0
AP1006,artKingsley,01.Aug.2023,01.Sep.2023,0.0
AP1006,artKingsley,01.Sep.2023,01.Oct.2023,0.0
AP1006,artKingsley,01.Oct.2023,01.Nov.2023,0.0
AP1006,artKingsley,01.Nov.2023,01.Dec.2023,0.0
AP1006,artKingsley,01.Dec.2023,01.Jan.2024,0.0
AP1006,artKingsley,01.Jan.2024,01.Feb.2024,0.0
AP1006,artKingsley,01.Feb.2024,01.Mar.2024,0.0
AP1006,artKingsley,01.Mar.2024,01.Apr.2024,0.0
AP1006,artKingsley,01.Apr.2024,01.May.2024,0.0
AP1006,artKingsley,01.May.2024,01.Jun.2024,0.0
AP1006,artKingsley,01.Jun.2024,01.Jul.2024,0.0
AP1006,artKingsley,01.Jul.2024,01.Aug.2024,0.0
AP1006,artKingsley,01.Aug.2024,01.Sep.2024,0.0
AP1006,artKingsley,01.Sep.2024,01.Oct.2024,0.0
AP1006,artKingsley,01.Oct.2024,01.Nov.2024,0.0
AP1006,artKingsley,01.Nov.2024,01.Dec.2024,0.0
AP1006,artKingsley,01.Dec.2024,01.Jan.2025,0.0
AP1006,artKingsley,01.Jan.2025,01.Feb.2025,0.0
AP1006,artKingsley,01.Feb.2025,01.Mar.2025,0.0
AP1006,artKingsley,01.Mar.2025,01.Apr.2025,0.0
AP1006,artKingsley,01.Apr.2025,01.May.2025,0.0
AP1006,artKingsley,01.May.2025,01.Jun.2025,0.0
AP1006,artKingsley,01.Jun.2025,01.Jul.2025,0.0
AP1006,artKingsley,01.Jul.2025,01.Aug.2025,0.0
AP1006,artKingsley,01.Aug.2025,01.Sep.2025,0.0
AP1006,artKingsley,01.Sep.2025,01.Oct.2025,0.0
AP1006,artKingsley,01.Oct.2025,01.Nov.2025,0.0
AP1006,artKingsley,01.Nov.2025,01.Dec.2025,0.0
AP1006,artKingsley,01.Dec.2025,01.Jan.2026,0.0
AP1007,nicoleLewis,01.Jan.2023,01.Feb.2023,0.0
AP1007,nicoleLewis,01.Feb.2023,01.Mar.2023,0.0
AP1007,nicoleLewis,01.Mar.2023,01.Apr.2023,0.0
AP1007,nicoleLewis,01.Apr.2023,01.May.2023,0.0
AP1007,nicoleLewis,01.May.2023,01.Jun.2023,0.0
AP1007,nicoleLewis,01.Jun.2023,01.Jul.2023,0.0
AP1007,nicoleLewis,01.Jul.2023,01.Aug.2023,0.0
AP1007,nicoleLewis,01.Aug.2023,01.Sep.2023,0.0
AP1007,nicoleLewis,01.Sep.2023,01.Oct.2023,0.0
AP1007,nicoleLewis,01.Oct.2023,01.Nov.2023,0.0
AP1007,nicoleLewis,01.Nov.2023,01.Dec.2023,0.0
AP1007,nicoleLewis,01.Dec.2023,01.Jan.2024,0.0
AP1007,nicoleLewis,01.Jan.2024,01.Feb.2024,0.0
AP1007,nicoleLewis,01.Feb.2024,01.Mar.2024,0.0
AP1007,nicoleLewis,01.Mar.2024,01.Apr.2024,0.0
AP1007,nicoleLewis,01.Apr.2024,01.May.2024,0.0
AP1007,nicoleLewis,01.May.2024,01.Jun.2024,0.0
AP1007,nicoleLewis,01.Jun.2024,01.Jul.2024,0.0
AP1007,nicoleLewis,01.Jul.2024,01.Aug.2024,0.0
AP1007,nicoleLewis,01.Aug.2024,01.Sep.2024,0.0
AP1007,nicoleLewis,01.Sep.2024,01.Oct.2024,0.0
AP1007,nicoleLewis,01.Oct.2024,01.Nov.2024,0.0
AP1007,nicoleLewis,01.Nov.2024,01.Dec.2024,0.0
AP1007,nicoleLewis,01.Dec.2024,01.Jan.2025,0.0
AP1007,nicoleLewis,01.Jan.2025,01.Feb.2025,0.0
AP1007,nicoleLewis,01.Feb.2025,01.Mar.2025,0.0
AP1007,nicoleLewis,01.Mar.2025,01.Apr.2025,0.0
AP1007,nicoleLewis,01.Apr.2025,01.May.2025,0.0
AP1007,nicoleLewis,01.May.2025,01.Jun.2025,0.0
AP1007,nicoleLewis,01.Jun.2025,01.Jul.2025,0.0
AP1007,nicoleLewis,01.Jul.2025,01.Aug.2025,0.0
AP1007,nicoleLewis,01.Aug.2025,01.Sep.2025,0.0
AP1007,nicoleLewis,01.Sep.2025,01.Oct.2025,0.0
AP1007,nicoleLewis,01.Oct.2025,01.Nov.2025,0.0
AP1007,nicoleLewis,01.Nov.2025,01.Dec.2025,0.0
AP1007,nicoleLewis,01.Dec.2025,01.Jan.2026,0.0
AP1007,valerieChilders,01.Jan.2023,01.Feb.2023,0.0
AP1007,valerieChilders,01.Feb.2023,01.Mar.2023,0.0
AP1007,valerieChilders,01.Mar.2023,01.Apr.2023,0.0
AP1007,valerieChilders,01.Apr.2023,01.May.2023,0.0
AP1007,valerieChilders,01.May.2023,01.Jun.2023,0.0
AP1007,valerieChilders,01.Jun.2023,01.Jul.2023,0.0
AP1007,valerieChilders,01.Jul.2023,01.Aug.2023,0.0
AP1007,valerieChilders,01.Aug.2023,01.Sep.2023,0.0
AP1007,valerieChilders,01.Sep.2023,01.Oct.2023,0.0
AP1007,valerieChilders,01.Oct.2023,01.Nov.2023,0.0
AP1007,valerieChilders,01.Nov.2023,01.Dec.2023,0.0
AP1007,valerieChilders,01.Dec.2023,01.Jan.2024,0.0
AP1007,valerieChilders,01.Jan.2024,01.Feb.2024,0.0
AP1007,valerieChilders,01.Feb.2024,01.Mar.2024,0.0
AP1007,valerieChilders,01.Mar.2024,01.Apr.2024,0.0
AP1007,valerieChilders,01.Apr.2024,01.May.2024,0.0
AP1007,valerieChilders,01.May.2024,01.Jun.2024,0.0
AP1007,valerieChilders,01.Jun.2024,01.Jul.2024,0.0
AP1007,valerieChilders,01.Jul.2024,01.Aug.2024,0.0
AP1007,valerieChilders,01.Aug.2024,01.Sep.2024,0.0
AP1007,valerieChilders,01.Sep.2024,01.Oct.2024,0.0
AP1007,valerieChilders,01.Oct.2024,01.Nov.2024,0.0
AP1007,valerieChilders,01.Nov.2024,01.Dec.2024,0.0
AP1007,valerieChilders,01.Dec.2024,01.Jan.2025,0.0
AP1007,valerieChilders,01.Jan.2025,01.Feb.2025,0.0
AP1007,valerieChilders,01.Feb.2025,01.Mar.2025,0.0
AP1007,valerieChilders,01.Mar.2025,01.Apr.2025,0.0
AP1007,valerieChilders,01.Apr.2025,01.May.2025,0.0
AP1007,valerieChilders,01.May.2025,01.Jun.2025,0.0
AP1007,valerieChilders,01.Jun.2025,01.Jul.2025,0.0
AP1007,valerieChilders,01.Jul.2025,01.Aug.2025,0.0
AP1007,valerieChilders,01.Aug.2025,01.Sep.2025,0.0
AP1007,valerieChilders,01.Sep.2025,01.Oct.2025,0.0
AP1007,valerieChilders,01.Oct.2025,01.Nov.2025,0.0
AP1007,valerieChilders,01.Nov.2025,01.Dec.2025,0.0
AP1007,valerieChilders,01.Dec.2025,01.Jan.2026,0.0
AP1007,wayneHill,01.Jan.2023,01.Feb.2023,0.0
AP1007,wayneHill,01.Feb.2023,01.Mar.2023,0.0
AP1007,wayneHill,01.Mar.2023,01.Apr.2023,0.0
AP1007,wayneHill,01.Apr.2023,01.May.2023,0.0
AP1007,wayneHill,01.May.2023,01.Jun.2023,0.0
AP1007,wayneHill,01.Jun.2023,01.Jul.2023,0.0
AP1007,wayneHill,01.Jul.2023,01.Aug.2023,0.0
AP1007,wayneHill,01.Aug.2023,01.Sep.2023,0.0
AP1007,wayneHill,01.Sep.2023,01.Oct.2023,0.0
AP1007,wayneHill,01.Oct.2023,01.Nov.2023,0.0
AP1007,wayneHill,01.Nov.2023,01.Dec.2023,0.0
AP1007,wayneHill,01.Dec.2023,01.Jan.2024,0.0
AP1007,wayneHill,01.Jan.2024,01.Feb.2024,0.0
AP1007,wayneHill,01.Feb.2024,01.Mar.2024,0.0
AP1007,wayneHill,01.Mar.2024,01.Apr.2024,0.0
AP1007,wayneHill,01.Apr.2024,01.May.2024,0.0
AP1007,wayneHill,01.May.2024,01.Jun.2024,0.0
AP1007,wayneHill,01.Jun.2024,01.Jul.2024,0.0
AP1007,wayneHill,01.Jul.2024,01.Aug.2024,0.0
AP1007,wayneHill,01.Aug.2024,01.Sep.2024,0.0
AP1007,wayneHill,01.Sep.2024,01.Oct.2024,0.0
AP1007,wayneHill,01.Oct.2024,01.Nov.2024,0.0
AP1007,wayneHill,01.Nov.2024,01.Dec.2024,0.0
AP1007,wayneHill,01.Dec.2024,01.Jan.2025,0.0
AP1007,wayneHill,01.Jan.2025,01.Feb.2025,0.0
AP1007,wayneHill,01.Feb.2025,01.Mar.2025,0.0
AP1007,wayneHill,01.Mar.2025,01.Apr.2025,0.0
AP1007,wayneHill,01.Apr.2025,01.May.2025,0.0
AP1007,wayneHill,01.May.2025,01.Jun.2025,0.0
AP1007,wayneHill,01.Jun.2025,01.Jul.2025,0.0
AP1007,wayneHill,01.Jul.2025,01.Aug.2025,0.0
AP1007,wayneHill,01.Aug.2025,01.Sep.2025,0.0
AP1007,wayneHill,01.Sep.2025,01.Oct.2025,0.0
AP1007,wayneHill,01.Oct.2025,01.Nov.2025,0.0
AP1007,wayneHill,01.Nov.2025,01.Dec.2025,0.0
AP1007,wayneHill,01.Dec.2025,01.Jan.2026,0.0
AP1008,nicoleLewis,01.Jan.2023,01.Feb.2023,0.0
AP1008,nicoleLewis,01.Feb.2023,01.Mar.2023,0.0
AP1008,nicoleLewis,01.Mar.2023,01.Apr.2023,0.0
AP1008,nicoleLewis,01.Apr.2023,01.May.2023,0.0
AP1008,nicoleLewis,01.May.2023,01.Jun.2023,0.0
AP1008,nicoleLewis,01.Jun.2023,01.Jul.2023,0.0
AP1008,nicoleLewis,01.Jul.2023,01.Aug.2023,0.0
AP1008,nicoleLewis,01.Aug.2023,01.Sep.2023,0.0
AP1008,nicoleLewis,01.Sep.2023,01.Oct.2023,0.0
AP1008,nicoleLewis,01.Oct.2023,01.Nov.2023,0.0
AP1008,nicoleLewis,01.Nov.2023,01.Dec.2023,0.0
AP1008,nicoleLewis,01.Dec.2023,01.Jan.2024,0.0
AP1008,nicoleLewis,01.Jan.2024,01.Feb.2024,0.0
AP1008,nicoleLewis,01.Feb.2024,01.Mar.2024,0.0
AP1008,nicoleLewis,01.Mar.2024,01.Apr.2024,0.0
AP1008,nicoleLewis,01.Apr.2024,01.May.2024,0.0
AP1008,nicoleLewis,01.May.2024,01.Jun.2024,0.0
AP1008,nicoleLewis,01.Jun.2024,01.Jul.2024,0.0
AP1008,nicoleLewis,01.Jul.2024,01.Aug.2024,0.0
AP1008,nicoleLewis,01.Aug.2024,01.Sep.2024,0.0
AP1008,nicoleLewis,01.Sep.2024,01.Oct.2024,0.0
AP1008,nicoleLewis,01.Oct.2024,01.Nov.2024,0.0
